Ward Num,Ward Name,March Consumption in ML,July Consumption in ML ,AvgUsageML
56,A. Narayanapura,139.03,150.99,145.01
147,Adugodi,70.16,74.18,72.17
114,Agaram,121.81,126.87,124.34
105,Agrahara Dasarahalli,66.9,74.28,70.59
196,Anjanapura,10.68,11.84,11.26
193,Arakere,173.74,207.77,190.755
35,Aramane Nagar,74.83,79.3,77.065
132,Attiguppe,139.02,153.24,146.13
3,Attur,83.8,86.71,85.255
141,Azadnagar,63.45,65.2,64.325
14,Bagalagunte,85.08,83.95,84.515
27,Banasawadi,170.26,177.61,173.935
180,Banashankari Temple Ward,86.79,89.76,88.275
134,Bapujinagar,75.69,89.97,82.83
154,Basavanagudi,135.58,144.94,140.26
53,Basavanapura,26.97,36.58,31.775
100,Basaveshwaranagar,148.06,153.99,151.025
192,Begur,111.93,130.11,121.02
150,Bellandur,60.64,68.32,64.48
50,Benniganahalli,428.15,437.37,432.76
91,Bharathinagar,67.94,69.78,68.86
188,Bilekahalli,197.41,216.28,206.845
121,Binnypet,62.64,64.77,63.705
175,Bommanahalli,109.57,140.75,125.16
176,BTM Layout,229.22,235.34,232.28
7,Byatarayanapura,183.29,201.42,192.355
169,Byrasandra,87.83,95.45,91.64
57,C.V. Ramannagar,57.13,68.28,62.705
138,Chalavadipalya,19.33,24.5,21.915
140,Chamrajpet,116.62,123.35,119.985
183,Chikkallasandra,126.41,129.82,128.115
109,Chikpet,86.93,85.31,86.12
39,Chokkasandra,51.22,58.66,54.94
2,Chowdeshwari Ward ,4.27,3.82,4.045
120,Cottonpet,35.23,36.12,35.675
77,Dattathreya Temple,92.5,95.93,94.215
97,Dayanandanagar,60.2,67.8,64
158,Deepanjali Nagar,59.15,61.89,60.52
47,Devarajeevanahalli,9.37,9.08,9.225
55,Devasandra,32.63,39.3,35.965
119,Dharmarayaswamy Temple Ward,47.28,51.46,49.37
40,Doddabidarakallu,0,0,0
10,Doddabommasandra,10.77,11.91,11.34
85,Doddanekkundi,206.06,228.71,217.385
112,Dommalur,197.59,212.17,204.88
106,Dr. Rajkumar Ward,51.59,60.5,56.045
148,Ejipura,94.77,97.14,95.955
157,Gali Anjaneya swamy Temple Ward,88.66,94.48,91.57
94,Gandhinagar,231.92,236.35,234.135
165,Ganeshmandira Ward,116.2,115.37,115.785
20,Ganganagar,51.83,55.51,53.67
34,Gangenahalli,62.46,63.9,63.18
82,Garudacharpalya,74.84,90.45,82.645
76,Gayathrinagar,100.56,101.06,100.81
162,Girinagar,151.81,153.63,152.72
194,Gotttigere,0.53,0.61,0.57
104,Govindrajnagara,38.9,44.39,41.645
171,Gurappanapalya,116.59,123.25,119.92
38,H.M.T,140.02,148.96,144.49
84,Hagadooru,66.32,73,69.66
87,HAL Airport,52.85,63.75,58.3
133,Hampinagar,71.99,74.16,73.075
155,Hanumanthanagar,84.28,89.45,86.865
24,HBR Layout,86.5,103.32,94.91
21,Hebbal,111.26,123.51,117.385
71,Hegganahalli,125.96,141.86,133.91
198,Hemmigepura,13.21,14.54,13.875
72,Herohalli,2.64,3.52,3.08
145,Hombegowdanagar,136.06,143.18,139.62
189,Hongasandra,110.41,145.29,127.85
54,Hoodi,72.52,89.3,80.91
25,Horamavu,13.41,13.87,13.64
124,Hosahalli,92.23,98.04,95.135
161,Hosakerehalli,131.92,130.55,131.235
58,Hosathippasandra,124.63,143.27,133.95
80,Hoysalanagar,125.7,136.45,131.075
174,HSR Layout,953.9,362.52,658.21
177,J.P.Nagar,151.91,166.39,159.15
17,J.P.Park,127.48,129.71,128.595
136,Jagareevanram Nagar,57.5,57.28,57.39
173,Jakkasandra,99.24,104.16,101.7
5,Jakkur,15.44,17.83,16.635
16,Jalahalli,72.09,77.17,74.63
186,Jaraganahalli,71.15,81.31,76.23
46,Jayachamarajendra Nagar,135.69,145.07,140.38
63,Jayamahal,103.87,107.17,105.52
170,Jayanagar East,95.56,100.4,97.98
153,Jayangar,163.47,171.17,167.32
88,Jeevanbhimanagar,132.27,141.21,136.74
129,Jnanabharathi ward,158.06,181.96,170.01
89,Jogupalya,98.67,103.78,101.225
139,K.R. Market,18.37,18.75,18.56
52,K.R.Puram,58.89,80.45,69.67
29,Kacharakanahalli,94.1,105.38,99.74
83,Kadugodi,9.13,10.26,9.695
30,Kadugondanahalli,34.78,35.22,35
65,Kadumalleshwara,128.16,132.69,130.425
101,Kamakshipalya,71.68,74.63,73.155
28,Kammanahalli,138.69,143.07,140.88
166,Karisandra,95.11,101.53,98.32
163,Katriguppe,123.67,130.47,127.07
32,Kavalbyrasandra,102.26,110.69,106.475
103,Kaveripura,93.29,94.55,93.92
122,Kempapura Agrahara,24.95,27.12,26.035
1,Kempegowda Ward,11.59,16.16,13.875
159,Kengeri,135.95,152.43,144.19
8,Kodigehalli,63.28,70.97,67.125
195,Konanakunte,235.95,270.01,252.98
113,Konena Agrahara,114.15,123.16,118.655
151,Koramangala,226.24,237.03,231.635
73,Kottigepalya,129.99,148.93,139.46
181,Kumaraswamy Layout,216.12,227.15,221.635
31,Kushalnagar,27.37,29.66,28.515
11,Kuvempunagar,1.22,1.62,1.42
69,Laggere,158.7,178.84,168.77
146,Lakkasandra,78.12,81.72,79.92
42,Lakshmidevinagar,60.56,72.89,66.725
49,Lingarajapura,45.55,45.43,45.49
172,Madiwala,108.97,115.93,112.45
68,Mahalakshmipuram,108.04,109.72,108.88
13,Mallasandra,25.02,32.29,28.655
45,Malleshwaram,58.27,60.03,59.15
190,Mangammanapalya,32.21,34.45,33.33
33,Manorayanapalya,50.48,55,52.74
44,Marappanahalli,97.2,105.89,101.545
86,Marathalli,68.92,88.2,78.56
125,Marenahalli,76.59,81.88,79.235
126,Maruthi Mandira Ward,89.34,89.59,89.465
59,Maruthiseva Nagar,137.03,151.13,144.08
36,Mathikere,74.42,78.93,76.675
127,Moodalapalya,106.04,109.96,108
48,Muneshwaranagar,19.03,22.65,20.84
67,Nagapura,154,155.08,154.54
128,Nagarabhavi,202.07,211.03,206.55
23,Nagavara,34.75,41.53,38.14
43,Nandini Layout,109.29,117.91,113.6
131,Nayandanahalli,86.47,86.88,86.675
116,Neelasandra,41.88,41.18,41.53
96,Okalipuram,49.12,52.32,50.72
135,Padarayanapura,27.05,27.15,27.1
182,Padmanabhanagar,166.24,170.11,168.175
168,Pattabhiramnagar,121.7,138.31,130.005
41,Peenya Industrial Area,120.7,140.34,130.52
98,Prakashnagar,64,66.19,65.095
78,Pulikeshinagar,98.89,106.37,102.63
187,Puttenahalli,87.59,92.99,90.29
18,Radhakrishna Temple Ward,106.33,113.78,110.055
70,Rajagopalanagar,99.74,115.79,107.765
99,Rajajinagar,95.79,101.64,98.715
64,Rajamahal,87.01,91.46,89.235
160,Rajarajeshwarinagar,207.54,223.03,215.285
26,Ramamurthynagar,163.95,182.41,173.18
62,Ramaswamy palya,59.93,63.14,61.535
137,Rayapuram,48.21,49.07,48.64
61,S.K. Garden,51.61,50.09,50.85
60,Sagayapuram,47.65,49.82,48.735
110,Sampangiramnagar,117.84,119.27,118.555
19,Sanjaynagar,74.87,80.61,77.74
178,Sarakki,182.03,196.98,189.505
79,Sarvagnanagar,183.57,66.5,125.035
179,Shakambarinagar,104.92,111.5,108.21
74,Shakthiganapathi nagar,123.84,126.06,124.95
75,Shankaramata,127.41,132.55,129.98
111,Shanthala Nagar,218.34,224.32,221.33
117,Shanthinagar,164.18,168.67,166.425
12,Shettyhalli,21.63,25,23.315
92,Shivajinagar,110.42,120.75,115.585
107,Shivanagar,63.56,66.53,65.045
144,Siddapura,46.62,47.17,46.895
191,Singasandra,7.44,10.19,8.815
156,Srinagar,127.65,133.54,130.595
108,Srirammandira ward,101.19,107.96,104.575
95,Subhashnagar,29.36,28.89,29.125
66,Subramanyanagar,123.8,122.62,123.21
118,Sudamnagar,42.89,52.34,47.615
152,Sudduguntepalya,108.87,116.83,112.85
142,Sunkenahalli,53.76,57.5,55.63
15,T. Dasarahalli,202.14,204.5,203.32
6,Thanisandra,1.08,1.21,1.145
130,Ullalu,43.28,54.06,48.67
90,Ulsoor,252.47,252.45,252.46
184,Uttarahalli,64.15,66.14,65.145
115,Vannarpet,75.61,74.74,75.175
149,Varthur,61.76,83.68,72.72
197,Vasanthapura,92.88,96.93,94.905
93,Vasanthnagar,238.31,235.72,237.015
164,Vidyapeetha Ward,102.96,109.39,106.175
9,Vidyaranyapura,190.37,201.56,195.965
81,Vignananagar,106.72,123.31,115.015
123,Vijaynagar,61.61,67.61,64.61
51,Vijinapura,72.47,76.04,74.255
22,VishwanathNagenahalli,57.84,59.24,58.54
143,Vishweshrapuram,109.76,122.49,116.125
102,Vrushabhavathi Nagar,89.45,84.69,87.07
167,Yadiyuru,94.15,102.41,98.28
185,Yelachenahalli,89.51,91.4,90.455
4,Yelahanka Satellite town,284.6,271.21,277.905
37,Yeshwanthpur,56.23,57.29,56.76
,,,,0
